match_id,match_date,home_team,away_team,home_form,away_form,form_difference,home_avg_goals_scored,away_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_conceded,home_win_rate,away_win_rate,target
3888705,1958-06-29,Brazil,Sweden,1.0,0.0,1.0,5.0,0.0,2.0,0.0,1.0,0.0,0
3888854,1962-05-30,Brazil,Mexico,1.0,0.0,1.0,5.0,0.0,2.0,0.0,1.0,0.0,0
3888699,1970-06-03,Brazil,Czechoslovakia,1.0,0.0,1.0,4.0,0.0,1.3333,0.0,1.0,0.0,0
3888700,1970-06-07,Brazil,England,1.0,0.0,1.0,4.0,0.0,1.25,0.0,1.0,0.0,0
3889217,1970-06-09,Brazil,Romania,1.0,0.0,1.0,3.4,0.0,1.0,0.0,1.0,0.0,0
3889218,1970-06-14,Brazil,Peru,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0
3888701,1970-06-17,Brazil,Uruguay,1.0,0.0,1.0,2.8,0.0,1.0,0.0,1.0,0.0,0
3888702,1970-06-21,Brazil,Italy,1.0,0.0,1.0,3.0,0.0,1.2,0.0,1.0,0.0,0
3888717,1974-06-26,Netherlands,Argentina,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0
3888718,1974-06-30,German DR,Netherlands,1.0,0.6667,0.3333,1.0,2.0,0.0,0.0,1.0,0.5,2
3888719,1974-07-03,Netherlands,Brazil,0.7778,1.0,-0.2222,2.0,3.0,0.0,1.2,0.6667,1.0,0
3888720,1974-07-07,Netherlands,Germany,0.8333,0.0,0.8333,2.0,0.0,0.0,1.0,0.75,0.0,2
3889148,1986-06-25,Argentina,Belgium,0.5,0.0,0.5,1.0,0.0,2.5,0.0,0.5,0.0,0
3889149,1986-06-29,Argentina,Germany,0.6667,0.5,0.1667,1.3333,1.0,1.6667,1.0,0.6667,0.5,0
3793185,1990-06-24,Brazil,Argentina,0.8,0.75,0.05,2.8,1.75,1.6,1.75,0.8,0.75,2
7531,2018-06-16,Argentina,Iceland,0.8,0.0,0.8,1.6,0.0,1.4,0.0,0.8,0.0,1
7534,2018-06-17,Germany,Mexico,0.3333,0.0,0.3333,1.3333,0.0,1.6667,2.0,0.3333,0.0,2
7533,2018-06-17,Brazil,Switzerland,0.6,0.0,0.6,2.2,0.0,1.4,0.0,0.6,0.0,1
7538,2018-06-18,Sweden,South Korea,0.1667,0.0,0.1667,1.0,0.0,2.5,0.0,0.0,0.0,0
7540,2018-06-19,Russia,Egypt,1.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0
7542,2018-06-20,Portugal,Morocco,0.3333,0.0,0.3333,3.0,0.0,3.0,1.0,0.0,0.0,0
7544,2018-06-20,Uruguay,Saudi Arabia,0.5,0.0,0.5,1.0,0.0,1.5,5.0,0.5,0.0,0
7543,2018-06-20,Iran,Spain,1.0,0.3333,0.6667,1.0,3.0,0.0,3.0,1.0,0.0,2
7547,2018-06-21,Denmark,Australia,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1
7546,2018-06-21,France,Peru,0.5,0.0,0.5,2.0,1.0,3.0,2.5,0.5,0.0,0
7545,2018-06-21,Argentina,Croatia,0.8667,1.0,-0.1333,1.8,2.0,0.8,0.0,0.8,1.0,2
7550,2018-06-22,Serbia,Switzerland,1.0,0.3333,0.6667,1.0,1.0,0.0,1.0,1.0,0.0,2
7549,2018-06-22,Nigeria,Iceland,0.0,0.3333,-0.3333,0.0,1.0,2.0,1.0,0.0,0.0,0
7548,2018-06-22,Brazil,Costa Rica,0.4667,0.0,0.4667,1.6,0.0,1.2,1.0,0.4,0.0,0
7553,2018-06-23,South Korea,Mexico,0.0,0.5,-0.5,0.0,0.5,1.0,1.0,0.0,0.5,2
7552,2018-06-23,Belgium,Tunisia,0.5,0.0,0.5,1.5,1.0,1.0,2.0,0.5,0.0,0
7551,2018-06-23,Germany,Sweden,0.25,0.4444,-0.1944,1.0,1.0,1.5,1.6667,0.25,0.3333,0
7556,2018-06-24,Japan,Senegal,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1
7554,2018-06-24,England,Panama,0.3333,0.0,0.3333,1.0,0.0,1.3333,3.0,0.3333,0.0,0
7560,2018-06-25,Spain,Morocco,0.6667,0.0,0.6667,2.0,0.0,1.5,1.0,0.5,0.0,1
7558,2018-06-25,Uruguay,Russia,0.6667,1.0,-0.3333,1.0,4.0,1.0,0.5,0.6667,1.0,0
7557,2018-06-25,Iran,Portugal,0.5,0.6667,-0.1667,0.5,2.0,0.5,1.5,0.5,0.5,1
7561,2018-06-26,Iceland,Croatia,0.1667,1.0,-0.8333,0.5,2.5,1.5,0.0,0.0,1.0,2
7562,2018-06-26,Australia,Peru,0.1667,0.0,0.1667,1.0,0.6667,1.5,2.0,0.0,0.0,2
7563,2018-06-26,Denmark,France,0.6667,0.6667,0.0,1.0,1.6667,0.5,2.0,0.5,0.6667,1
7564,2018-06-26,Nigeria,Argentina,0.5,0.6667,-0.1667,1.0,1.4,1.0,1.2,0.5,0.6,2
7568,2018-06-27,Switzerland,Costa Rica,0.6667,0.0,0.6667,1.5,0.0,1.0,1.5,0.5,0.0,1
7567,2018-06-27,South Korea,Germany,0.0,0.4,-0.4,0.5,1.2,1.5,1.4,0.0,0.4,0
7566,2018-06-27,Mexico,Sweden,0.6667,0.3333,0.3334,1.0,1.0,1.0,1.75,0.6667,0.25,2
7565,2018-06-27,Serbia,Brazil,0.5,0.4667,0.0333,1.0,1.4,1.0,1.0,0.5,0.4,2
7572,2018-06-28,Japan,Poland,0.6667,0.0,0.6667,2.0,0.5,1.5,2.5,0.5,0.0,2
7571,2018-06-28,Senegal,Colombia,0.6667,0.5,0.1667,2.0,2.0,1.5,1.0,0.5,0.5,2
7570,2018-06-28,England,Belgium,0.5,0.6667,-0.1667,2.25,2.6667,1.25,1.3333,0.5,0.6667,2
7580,2018-06-30,France,Argentina,0.5833,0.6667,-0.0834,1.25,1.4,1.5,1.4,0.5,0.6,0
7579,2018-06-30,Uruguay,Portugal,0.75,0.5556,0.1944,1.5,1.6667,0.75,1.3333,0.75,0.3333,0
7582,2018-07-01,Spain,Russia,0.5556,0.6667,-0.1111,2.0,2.6667,1.6667,1.3333,0.3333,0.6667,1
