match_id,competition_id,season_id,competition_name,season_name,match_date,kick_off,home_team_id,home_team,away_team_id,away_team,home_score,away_score,stadium,referee,source
3888704,43,269,FIFA World Cup,1958,1958-06-24,18:00:00.000,,Brazil,,France,5,2,Friends Arena,Mervyn Griffiths,statsbomb
3888705,43,269,FIFA World Cup,1958,1958-06-29,17:00:00.000,,Brazil,,Sweden,5,2,Friends Arena,Maurice Guigue,statsbomb
3888854,43,270,FIFA World Cup,1962,1962-05-30,18:00:00.000,,Brazil,,Mexico,2,0,Estadio Sausalito ,,statsbomb
3888699,43,272,FIFA World Cup,1970,1970-06-03,22:00:00.000,,Brazil,,Czechoslovakia,4,1,Estadio Jalisco,Ramón Ivanoes Barreto Ruiz,statsbomb
3888700,43,272,FIFA World Cup,1970,1970-06-07,18:00:00.000,,Brazil,,England,1,0,Estadio Jalisco,Abraham Klein,statsbomb
3889217,43,272,FIFA World Cup,1970,1970-06-09,22:00:00.000,,Brazil,,Romania,3,2,Estadio Jalisco,Ferdinand Marschall,statsbomb
3889218,43,272,FIFA World Cup,1970,1970-06-14,17:00:00.000,,Brazil,,Peru,4,2,Estadio Jalisco,Vital Georges Gilbert Loraux,statsbomb
3888701,43,272,FIFA World Cup,1970,1970-06-17,22:00:00.000,,Brazil,,Uruguay,3,1,Estadio Jalisco,José Maria Ortíz De Mendibil,statsbomb
3888702,43,272,FIFA World Cup,1970,1970-06-21,21:00:00.000,,Brazil,,Italy,4,1,Estadio Azteca,Rudi Glöckner,statsbomb
3888716,43,51,FIFA World Cup,1974,1974-06-19,21:30:00.000,,Netherlands,,Sweden,0,0,Signal-Iduna-Park,Werner Winsemann,statsbomb
3750180,43,51,FIFA World Cup,1974,1974-06-22,16:30:00.000,,German DR,,Germany,1,0,Volksparkstadion,Ramón Ivanoes Barreto Ruiz,statsbomb
3888717,43,51,FIFA World Cup,1974,1974-06-26,18:30:00.000,,Netherlands,,Argentina,4,0,Parkstadion Obenende,Bobby Davidson,statsbomb
3888718,43,51,FIFA World Cup,1974,1974-06-30,15:00:00.000,,German DR,,Netherlands,0,2,Parkstadion Obenende,Rudolf Scheurer,statsbomb
3888719,43,51,FIFA World Cup,1974,1974-07-03,18:30:00.000,,Netherlands,,Brazil,2,0,Signal-Iduna-Park,Kurt Tschenscher,statsbomb
3888720,43,51,FIFA World Cup,1974,1974-07-07,18:00:00.000,,Netherlands,,Germany,1,2,Olympiastadion München ,Jack Taylor,statsbomb
3750191,43,54,FIFA World Cup,1986,1986-06-22,19:00:00.000,,Argentina,,England,2,1,Estadio Azteca,Ali Bin Nasser,statsbomb
3889148,43,54,FIFA World Cup,1986,1986-06-25,21:00:00.000,,Argentina,,Belgium,2,0,Estadio Azteca,Antonio Márquez Ramírez,statsbomb
3889149,43,54,FIFA World Cup,1986,1986-06-29,17:00:00.000,,Argentina,,Germany,3,2,Estadio Azteca,,statsbomb
3793185,43,55,FIFA World Cup,1990,1990-06-24,17:00:00.000,,Brazil,,Argentina,0,1,Stadio delle Alpi,Joël Quiniou,statsbomb
-46037370268727,,,Ligue 1,2015/2016,2015-08-07,,,Lille,,Paris SG,0,1,,,football-data
-268953005774864,,,Ligue 1,2015/2016,2015-08-08,,,Nantes,,Guingamp,1,0,,,football-data
-257756192524174,,,Ligue 1,2015/2016,2015-08-08,,,Marseille,,Caen,0,1,,,football-data
-248580645005752,,,Ligue 1,2015/2016,2015-08-08,,,Montpellier,,Angers,0,2,,,football-data
-247661613074693,,,Ligue 1,2015/2016,2015-08-08,,,Troyes,,Ajaccio GFCO,0,0,,,football-data
-222536336145180,,,Ligue 1,2015/2016,2015-08-08,,,Nice,,Monaco,1,2,,,football-data
-187070508438714,,,Premier League,2015/2016,2015-08-08,,,Leicester,,Sunderland,4,2,,L Mason,football-data
-141320741078948,,,Premier League,2015/2016,2015-08-08,,,Everton,,Watford,2,2,,M Jones,football-data
-114816300163312,,,Premier League,2015/2016,2015-08-08,,,Chelsea,,Swansea,2,2,,M Oliver,football-data
-111493817629839,,,Ligue 1,2015/2016,2015-08-08,,,Bastia,,Rennes,2,1,,,football-data
-66896018579229,,,Premier League,2015/2016,2015-08-08,,,Bournemouth,,Aston Villa,0,1,,M Clattenburg,football-data
-29947398669012,,,Premier League,2015/2016,2015-08-08,,,Man United,,Tottenham,1,0,,J Moss,football-data
-19217953641425,,,Premier League,2015/2016,2015-08-08,,,Norwich,,Crystal Palace,1,3,,S Hooper,football-data
-257603909387787,,,Ligue 1,2015/2016,2015-08-09,,,Toulouse,,St Etienne,2,1,,,football-data
-218684570575783,,,Ligue 1,2015/2016,2015-08-09,,,Lyon,,Lorient,0,0,,,football-data
-209211840056753,,,Premier League,2015/2016,2015-08-09,,,Newcastle,,Southampton,2,2,,C Pawson,football-data
-190566545671633,,,Ligue 1,2015/2016,2015-08-09,,,Bordeaux,,Reims,1,2,,,football-data
-158265117067112,,,Premier League,2015/2016,2015-08-09,,,Arsenal,,West Ham,0,2,,M Atkinson,football-data
-101611024387421,,,Premier League,2015/2016,2015-08-09,,,Stoke,,Liverpool,0,1,,A Taylor,football-data
-70771912980255,,,Premier League,2015/2016,2015-08-10,,,West Brom,,Man City,0,3,,M Dean,football-data
-188331006864996,,,Premier League,2015/2016,2015-08-14,,,Aston Villa,,Man United,0,1,,M Dean,football-data
-29864130254307,,,Bundesliga,2015/2016,2015-08-14,,,Bayern Munich,,Hamburg,5,0,,,football-data
-23162230192443,,,Ligue 1,2015/2016,2015-08-14,,,Monaco,,Lille,0,0,,,football-data
-237930787771732,,,Premier League,2015/2016,2015-08-15,,,Southampton,,Everton,0,3,,M Oliver,football-data
-234513988349999,,,Bundesliga,2015/2016,2015-08-15,,,Leverkusen,,Hoffenheim,2,1,,,football-data
-215369545435059,,,Bundesliga,2015/2016,2015-08-15,,,Mainz,,Ingolstadt,0,1,,,football-data
-188972272824578,,,Ligue 1,2015/2016,2015-08-15,,,Rennes,,Montpellier,1,0,,,football-data
-176603399233778,,,Bundesliga,2015/2016,2015-08-15,,,Augsburg,,Hertha,0,1,,,football-data
-162991929438828,,,Ligue 1,2015/2016,2015-08-15,,,Angers,,Nantes,0,0,,,football-data
-158349603529591,,,Premier League,2015/2016,2015-08-15,,,West Ham,,Leicester,1,2,,A Taylor,football-data
-147898260606196,,,Premier League,2015/2016,2015-08-15,,,Sunderland,,Norwich,1,3,,K Friend,football-data
-140964659504576,,,Ligue 1,2015/2016,2015-08-15,,,Caen,,Toulouse,1,0,,,football-data
