season_id,competition_id,season_name
44,2,2003/2004
27,2,2015/2016
318,2,2016/2017
322,2,2017/2018
326,2,2018/2019
330,2,2019/2020
334,2,2020/2021
337,2,2021/2022
342,2,2022/2023
347,2,2023/2024
352,2,2024/2025
355,2,2025/2026
27,7,2015/2016
317,7,2016/2017
321,7,2017/2018
325,7,2018/2019
329,7,2019/2020
333,7,2020/2021
108,7,2021/2022
235,7,2022/2023
346,7,2023/2024
351,7,2024/2025
356,7,2025/2026
27,9,2015/2016
281,9,2023/2024
278,11,1973/1974
37,11,2004/2005
38,11,2005/2006
39,11,2006/2007
40,11,2007/2008
41,11,2008/2009
21,11,2009/2010
22,11,2010/2011
23,11,2011/2012
24,11,2012/2013
25,11,2013/2014
26,11,2014/2015
27,11,2015/2016
2,11,2016/2017
1,11,2017/2018
4,11,2018/2019
42,11,2019/2020
90,11,2020/2021
339,11,2021/2022
343,11,2022/2023
345,11,2023/2024
350,11,2024/2025
357,11,2025/2026
86,12,1986/1987
27,12,2015/2016
319,12,2016/2017
324,12,2017/2018
327,12,2018/2019
332,12,2019/2020
336,12,2020/2021
340,12,2021/2022
344,12,2022/2023
349,12,2023/2024
353,12,2024/2025
359,12,2025/2026
276,16,1970/1971
71,16,1971/1972
277,16,1972/1973
76,16,1999/2000
44,16,2003/2004
37,16,2004/2005
39,16,2006/2007
41,16,2008/2009
21,16,2009/2010
22,16,2010/2011
23,16,2011/2012
24,16,2012/2013
25,16,2013/2014
26,16,2014/2015
27,16,2015/2016
2,16,2016/2017
1,16,2017/2018
4,16,2018/2019
75,35,1988/1989
4,37,2018/2019
42,37,2019/2020
90,37,2020/2021
281,37,2023/2024
269,43,1958
270,43,1962
272,43,1970
51,43,1974
54,43,1986
55,43,1990
3,43,2018
106,43,2022
107,44,2023
3,49,2018
107,49,2023
106,53,2022
315,53,2025
43,55,2020
282,55,2024
30,72,2019
107,72,2023
275,81,1981
48,81,1997/1998
279,87,1977/1978
268,87,1982/1983
84,87,1983/1984
68,116,1977
281,131,2023/2024
281,135,2023/2024
281,182,2023/2024
282,223,2024
108,1238,2021/2022
107,1267,2023
274,1470,1979
316,1471,2015/2016
320,1471,2016/2017
323,1471,2017/2018
328,1471,2018/2019
331,1471,2019/2020
335,1471,2020/2021
338,1471,2021/2022
341,1471,2022/2023
348,1471,2023/2024
354,1471,2024/2025
358,1471,2025/2026
