team_id,team_name,source,source_team_id
FI_TEAM_000001,Albania,statsbomb,906
FI_TEAM_000002,Algeria,statsbomb,4898
FI_TEAM_000003,Angola,statsbomb,4901
FI_TEAM_000004,Argentina,statsbomb,779
FI_TEAM_000005,Australia,statsbomb,792
FI_TEAM_000006,Austria,statsbomb,915
FI_TEAM_000007,Belgium,statsbomb,782
FI_TEAM_000008,Bolivia,statsbomb,3564
FI_TEAM_000009,Brazil,statsbomb,781
FI_TEAM_000010,Burkina Faso,statsbomb,4921
FI_TEAM_000011,Cameroon,statsbomb,2722
FI_TEAM_000012,Canada,statsbomb,1833
FI_TEAM_000013,Cape Verde Islands,statsbomb,4924
FI_TEAM_000014,Chile,statsbomb,3562
FI_TEAM_000015,Colombia,statsbomb,769
FI_TEAM_000016,Congo DR,statsbomb,4881
FI_TEAM_000017,Costa Rica,statsbomb,795
FI_TEAM_000018,Croatia,statsbomb,785
FI_TEAM_000019,Czech Republic,statsbomb,912
FI_TEAM_000020,Czechoslovakia,statsbomb,17469
FI_TEAM_000021,Côte d'Ivoire,statsbomb,3374
FI_TEAM_000022,Denmark,statsbomb,776
FI_TEAM_000023,Ecuador,statsbomb,3565
FI_TEAM_000024,Egypt,statsbomb,774
FI_TEAM_000025,England,statsbomb,768
FI_TEAM_000026,Equatorial Guinea,statsbomb,4992
FI_TEAM_000027,Finland,statsbomb,1835
FI_TEAM_000028,France,statsbomb,771
FI_TEAM_000029,Gambia,statsbomb,4934
FI_TEAM_000030,Georgia,statsbomb,2138
FI_TEAM_000031,German DR,statsbomb,2721
FI_TEAM_000032,Germany,statsbomb,770
FI_TEAM_000033,Ghana,statsbomb,4885
FI_TEAM_000034,Guinea,statsbomb,4892
FI_TEAM_000035,Guinea-Bissau,statsbomb,4894
FI_TEAM_000036,Hungary,statsbomb,916
FI_TEAM_000037,Iceland,statsbomb,793
FI_TEAM_000038,Iran,statsbomb,797
FI_TEAM_000039,Italy,statsbomb,914
FI_TEAM_000040,Jamaica,statsbomb,2305
FI_TEAM_000041,Japan,statsbomb,778
FI_TEAM_000042,Mali,statsbomb,4930
FI_TEAM_000043,Mauritania,statsbomb,4932
FI_TEAM_000044,Mexico,statsbomb,794
FI_TEAM_000045,Morocco,statsbomb,788
FI_TEAM_000046,Mozambique,statsbomb,4978
FI_TEAM_000047,Namibia,statsbomb,4980
FI_TEAM_000048,Netherlands,statsbomb,941
FI_TEAM_000049,Nigeria,statsbomb,775
FI_TEAM_000050,North Macedonia,statsbomb,2358
FI_TEAM_000051,Panama,statsbomb,798
FI_TEAM_000052,Paraguay,statsbomb,3567
FI_TEAM_000053,Peru,statsbomb,784
FI_TEAM_000054,Poland,statsbomb,789
FI_TEAM_000055,Portugal,statsbomb,780
FI_TEAM_000056,Qatar,statsbomb,3566
FI_TEAM_000057,Romania,statsbomb,905
FI_TEAM_000058,Russia,statsbomb,796
FI_TEAM_000059,Saudi Arabia,statsbomb,799
FI_TEAM_000060,Scotland,statsbomb,942
FI_TEAM_000061,Senegal,statsbomb,787
FI_TEAM_000062,Serbia,statsbomb,786
FI_TEAM_000063,Slovakia,statsbomb,908
FI_TEAM_000064,Slovenia,statsbomb,944
FI_TEAM_000065,South Africa,statsbomb,4976
FI_TEAM_000066,South Korea,statsbomb,791
FI_TEAM_000067,Spain,statsbomb,772
FI_TEAM_000068,Sweden,statsbomb,790
FI_TEAM_000069,Switzerland,statsbomb,773
FI_TEAM_000070,Tanzania,statsbomb,4953
FI_TEAM_000071,Tunisia,statsbomb,777
FI_TEAM_000072,Turkey,statsbomb,909
FI_TEAM_000073,Ukraine,statsbomb,911
FI_TEAM_000074,United States,statsbomb,1839
FI_TEAM_000075,Uruguay,statsbomb,783
FI_TEAM_000076,Venezuela,statsbomb,3563
FI_TEAM_000077,Wales,statsbomb,907
FI_TEAM_000078,Zambia,statsbomb,4963
FI_TEAM_000079,Lille,football-data,
FI_TEAM_000080,Nantes,football-data,
FI_TEAM_000081,Marseille,football-data,
FI_TEAM_000082,Montpellier,football-data,
FI_TEAM_000083,Troyes,football-data,
FI_TEAM_000084,Nice,football-data,
FI_TEAM_000085,Leicester,football-data,
FI_TEAM_000086,Everton,football-data,
FI_TEAM_000087,Chelsea,football-data,
FI_TEAM_000088,Bastia,football-data,
FI_TEAM_000089,Bournemouth,football-data,
FI_TEAM_000090,Man United,football-data,
FI_TEAM_000091,Norwich,football-data,
FI_TEAM_000092,Toulouse,football-data,
FI_TEAM_000093,Lyon,football-data,
FI_TEAM_000094,Newcastle,football-data,
FI_TEAM_000095,Bordeaux,football-data,
FI_TEAM_000096,Arsenal,football-data,
FI_TEAM_000097,Stoke,football-data,
FI_TEAM_000098,West Brom,football-data,
FI_TEAM_000099,Aston Villa,football-data,
FI_TEAM_000100,Bayern Munich,football-data,
FI_TEAM_000101,Monaco,football-data,
FI_TEAM_000102,Southampton,football-data,
FI_TEAM_000103,Leverkusen,football-data,
FI_TEAM_000104,Mainz,football-data,
FI_TEAM_000105,Rennes,football-data,
